Raw_place,True_place
"Ninh Hòa, Khánh Hòa, Vietnam",Khánh Hòa
"Bắc Quang, Hà Giang, Vietnam",Hà Giang
Đại Từ,Hà Nội
"Bai Chay, Quảng Ninh, Vietnam",Quảng Ninh
Hạ Long (thành phố),Quảng Ninh
Mississauga,Bắc Ninh
Cẩm Mỹ,Đồng Nai
"Vinh Ang, Nghe Tinh, Vietnam",Hà Tĩnh
"Cai Nuoc, Cà Mau",Cà Mau
Long Xuyên,An Giang
"Vinh Hoa Hung, Kiến Giang, Vietnam",Kiên Giang
"Hương Khê, Hà Tĩnh, Vietnam",Hà Tĩnh
Orléans,unknown
Fan M-Tp Sơn Tùng Hải Dương,Hải Dương
"Xuan Lan, Hi Bac, Vietnam",Bắc Giang
Kadô,Hồ Chí Minh
Cao Bằng,Cao Bằng
"Chau Phú, An Giang, Vietnam",An Giang
Thanh Sơn,Phú Thọ
"Sân Bay Trà Nóc,Cần Thơ",Cần Thơ
"Đoan Hùng, Phú Thọ, Vietnam",Phú Thọ
"Hoai Duc Phu, Ha Noi, Vietnam",Hà Nội
Cộng hòa Séc,Hồ Chí Minh
Ulsan,Phú Thọ
Quảng Ngãi,Quảng Ngãi
Tân Kỳ,Hà Nội
Tây Ninh,Tây Ninh
"Laguna Beach, Hợp chủng quốc Hoa Kỳ",unknown
Cẩm Xuyên,Hà Tĩnh
Cần Đước,Long An
"Thuong Cat, Ha Noi, Vietnam",Hà Nội
Leicester,unknown
Xuân Mai,Hà Nội
Cam Lộ (huyện),Quảng Trị
Kinh Môn,Hải Dương
Vĩnh Lộc,Thanh Hóa
Rạch Giá,Kiên Giang
"Washington, D.C.",unknown
"Nam �Àn, Nghệ An",Đắk Lắk
Tay Ninh Province,Tây Ninh
"Buôn Ma Thuột, Đắc Lắk, Vietnam",Đắk Lắk
"Nha Trang, Khánh Hòa",Khánh Hòa
Tiền Hải,Thái Bình
"Ke Sat, Hải Dương",Hải Dương
"Webster (town), New York",unknown
Cà Mau,Cà Mau
Ktx Khu A,Hồ Chí Minh
Hải Lăng,Đồng Nai
HÀ NỘI,Hà Nội
Thị Xã Bình Minh,unknown
"Lệ Thủy, Quảng Bình",Quảng Bình
Phú Vang,Thừa Thiên Huế
Helsinki,Hồ Chí Minh
"Tháp Mười, Đồng Tháp",Đồng Tháp
"Ba Hàng, Thái Nguyên, Vietnam",Thái Nguyên
"Saskatoon, Saskatchewan",Hồ Chí Minh
"Charlotte, North Carolina",Hải Phòng
"Conroe, Hợp chủng quốc Hoa Kỳ",Bình Định
San Diego,Hồ Chí Minh
Cần Giuộc,Hồ Chí Minh
Tiên Yên,Quảng Ninh
"Tân Qui, Hồ Chí Minh, Vietnam",Hồ Chí Minh
"Phú Nhuận, Thành phố Hồ Chí Minh",Hồ Chí Minh
Saigon,Hồ Chí Minh
Yên Thành,Nghệ An
Duy Xuyên,Quảng Nam
Bố Trạch,Quảng Bình
Gò Công,Tiền Giang
"Hsinchu, Taiwan",unknown
Ninh Bình (thành phố),Ninh Bình
Yên Thế,Bắc Giang
"Ba Hòn, Kiến Giang, Vietnam",Kiên Giang
"Mỏ Cày, Bến Tre",Bến Tre
"Phủ Lý, Hà Nam",Hà Nam
"Stockton, California",unknown
Gia Lâm,Hà Nội
Nam Trực,unknown
Sydney Olympic Park,Hà Nội
Bến Tre,Bến Tre
Thành phố Hồ Chí Minh,Hồ Chí Minh
"Paris, Ile-De-France",Hồ Chí Minh
"Ha-Nam, Hà Nam, Vietnam",Hà Nam
"Xuan Dinh, Ha Noi, Vietnam",Hà Nội
Quảng Yên (thị xã),Quảng Ninh
"Vạn Ninh, Khánh Hòa",Khánh Hòa
"Thọ Xuân, Thanh Hóa",Thanh Hóa
"Sa Đéc, Đồng Tháp",Đồng Tháp
"Thuy Phuong, Ha Noi, Vietnam",Hà Nội
Congonhas,unknown
"Hanoi, Southern Highlands, Papua New Guinea",Hà Nội
"Qui Nhon, Bình Ðịnh, Vietnam",Bình Định
"Dobbs Ferry, New York",unknown
"Mao Khe, Vietnam",Quảng Ninh
"Thuong, Bắc Giang, Vietnam",Bắc Giang
Bạc Liêu,Bạc Liêu
"Khanh Hung, Sóc Trăng, Vietnam",Sóc Trăng
Vũ Hán,Hải Phòng
Aix-en-Provence,Hà Nội
"Compiègne, Pháp",unknown
"Long Hoa, Long An, Vietnam",Long An
"Ichinomiya, Aichi",Hà Tĩnh
"Phuoc Binh, Bình Phước",Bình Phước
Yên Bái (thành phố),Yên Bái
"Rach Gia, Vietnam",Kiên Giang
Pohang,unknown
Cam Ranh,Khánh Hòa
"Port-au-Prince, Haiti",Hà Nội
Tân Châu - Angiang,An Giang
Cần Thơ,Cần Thơ
"Củ Chi, Hồ Chí Minh, Vietnam",Hồ Chí Minh
"Như Xuân, Thanh Hóa",Thanh Hóa
Vũ Quang (huyện),Hà Tĩnh
Brisbane,Hồ Chí Minh
Wellington,An Giang
Tân Uyên (huyện cũ),Hồ Chí Minh
Cam Lâm,Khánh Hòa
"Phú Xuyên, Ha Noi, Vietnam",Hà Nội
"Phuoc Buu, Vietnam",Bà Rịa Vũng Tàu
"Phu Quoc, Kiên Giang",Kiên Giang
"Cao �Ình, Ha Noi, Vietnam",Hà Nội
Thanh Ba,Hải Dương
"Northbrook, Illinois",unknown
"Tân An, Long An",Long An
"Binh Son, Quảng Ngãi, Vietnam",Quảng Ngãi
Thái Thụy,Thái Bình
"Chaudok, An Giang",An Giang
Sydney,Hà Nội
Hà Nội Phố,Hà Nội
Quảng Trạch,Quảng Bình
"Cỏ Tiết, Vinh Phu, Vietnam",Phú Thọ
Budapest,Hà Nội
"Đông Hòa, Phú Yên",Phú Yên
"Khê Mao, Quảng Ninh, Vietnam",Quảng Ninh
"Quynh Luu, Nghệ An, Vietnam",Nghệ An
Lang Chánh,Thanh Hóa
Thái Lan,Hồ Chí Minh
Stuttgart,Hồ Chí Minh
Tây An,unknown
Đan Phượng,Hà Nội
Phụng Hiệp,unknown
Phú Thọ (thị xã),Phú Thọ
Điện Bàn,Quảng Nam
Phù Cát,Bình Định
Incheon,Hà Nội
"Cambridge, Massachusetts",Hà Nội
Moskva,unknown
"Hô Phòng, Bạc Liêu, Vietnam",Bạc Liêu
Bà Rịa,Bà Rịa Vũng Tàu
"Hoài Ân, Hòa Bình",Hòa Bình
"Palo Alto, California",Hà Nội
"Hiep Hoa, Vietnam",Bắc Giang
Liberty Wings,Hà Nội
"Phan Ri Cua, Thuin Hai, Vietnam",Hồ Chí Minh
"Xa Phan Thiet, Bình Thuận, Vietnam",Bình Thuận
"Sầm Sơn, Thanh Hóa",Thanh Hóa
"Que Son, Quảng Nam, Vietnam",Quảng Nam
"Hung Yen, Hưng Yên, Vietnam",Hưng Yên
"Thach Khoi, Hai Hung, Vietnam",Hải Dương
"Saigon, Wadi Fira, Chad",Hồ Chí Minh
"Binh Duong, Quang Nam-Da Nang, Vietnam",Đà Nẵng
"Tung Nghia, Lâm Ðồng, Vietnam",Lâm Đồng
Thủ Dầu Một,Bình Dương
Thành phố New York,unknown
Trà Vinh,Trà Vinh
"Vietri, Phú Thọ, Vietnam",Phú Thọ
"Norman, Oklahoma",Hà Nội
Nøtterøy,unknown
Hoằng Hóa,Thanh Hóa
Nghi Xuân,Hà Tĩnh
"Kandāl, Phnum Penh, Cambodia",unknown
Lấp Vò,Đồng Tháp
Tả Thanh Oai,Hà Nội
Hữu Lũng,Lạng Sơn
Doha,Hà Nội
"Atlanta, Georgia",Hồ Chí Minh
"Ha Loi, Ha Noi, Vietnam",Hà Nội
"Yen, Vĩnh Phúc, Vietnam",Vĩnh Phúc
"Nam Định, Nam Định, Vietnam",Nam Định
"Ba Tri, Bến Tre",Bến Tre
Vũng Liêm,Vĩnh Long
"Nho Quan, Ninh Bình, Vietnam",Ninh Bình
Nagasaki,Hồ Chí Minh
Bỉm Sơn,Thanh Hóa
"Phu Ninh, Vietnam",Hồ Chí Minh
"Sóc Sa Rài, Ðồng Tháp, Vietnam",Đồng Tháp
"Vĩnh Tường, Kiên Giang",Kiên Giang
Yên Mô,Ninh Bình
"Tinh Kontum, Kon Tum, Vietnam",Kon Tum
"Tan Lac Ly, Ha Nam Ninh, Vietnam",Hà Nam
Ko Ở Đâu Cả,Tuyên Quang
Con Cuông,Nghệ An
"Hòa Bình, Hòa Bình, Vietnam",Hòa Bình
"Lang Thang, Lạng Sơn, Vietnam",Lạng Sơn
Iksan,Thừa Thiên Huế
"Hoài Nhon, Bình Ðịnh, Vietnam",Bình Định
"Quang Nam, Quang Nam-Da Nang, Vietnam",Đà Nẵng
"Dalat, Sarawak",Hà Nội
"Cua Ong, Quảng Ninh, Vietnam",Quảng Ninh
Nghĩa Lộ,Hà Nội
"Quảng Yên, Quảng Ninh, Vietnam",Quảng Ninh
đông mĩ - thanh trì - hà nội,Hà Nội
Vị Thanh,Hậu Giang
"Phu Tho, Phú Thọ, Vietnam",Phú Thọ
Jalandhar,unknown
Montréal,Hà Nội
Trảng Bom,Đồng Nai
"Chợ Gạo, Tiền Giang",Tiền Giang
"Phú Hội, Lâm Đồng",Lâm Đồng
"Ba Vì, Ha Son Binh, Vietnam",Hà Nội
"Na Hang, Tuyên Quang",Tuyên Quang
Khartoum,unknown
Lai Chau,Lai Châu
Hồng Kông,Hồ Chí Minh
"Tư Cương, Vinh Phu, Vietnam",Phú Thọ
"Tachikawa, Tokyo",unknown
Bournemouth,unknown
"Da Dang, Quảng Nam",Quảng Nam
"Mitho, Tiền Giang, Vietnam",Tiền Giang
Lâm Thao,Phú Thọ
Manila,Quảng Ninh
Hà Nội,Hà Nội
"Vinh Bao, Hải Phòng, Vietnam",Hải Phòng
Tp Điện Biên Phủ,Điện Biên
"Binh Luc, Hà Nam, Vietnam",Hà Nam
"Hamilton, Ontario",Hồ Chí Minh
Bát Trang,Hà Nội
Thái Bình (thành phố),Thái Bình
"My Ladys Manor Estates, Maryland",Hồ Chí Minh
"Hương Thủy, Thừa Thiên - Huế",Thừa Thiên Huế
"Long Thành, Đồng Nai",Đồng Nai
"Krishnagar City, West Bengal, India",unknown
Viên,unknown
Nghĩa Hưng,Nam Định
Vĩnh Phúc,Vĩnh Phúc
Luangprabang (huyện),Thái Bình
Los Angeles,Nghệ An
"Nagoya-shi, Aichi, Japan",unknown
"Gia Lai, Gia Lai, Vietnam",Gia Lai
Phan Rang - Tháp Chàm,Ninh Thuận
"Quynh Coi, Thái Bình, Vietnam",Thái Bình
Praha,Hà Nội
"Co Duong, Ha Noi, Vietnam",Hà Nội
"Phu Dien Chau, Nghệ An, Vietnam",Nghệ An
Nghi Lộc,Hà Tĩnh
Ba Đồn,Quảng Bình
Steamboat Springs Colorado,unknown
Ô Môn,Cần Thơ
"Ninh Bình, Phu Khanh, Vietnam",Ninh Bình
Biên Hòa,Đồng Nai
Diễn Châu,Nghệ An
Mộc Châu,Sơn La
"Thành phố Hồ Chí Minh, Hồ Chí Minh, Vietnam",Hồ Chí Minh
"TL 353 Anh Dũng, Dương Kinh, Hải Phòng",Hải Phòng
"Houston, Texas",unknown
"Gia Nghĩa, Đắk Nông",Đắk Nông
Lạc Thủy,Hòa Bình
"Sông Mã, Sơn La",Sơn La
"Tiêu Sơn, Hàng Châu",Hà Nội
Bắc Kinh,Cần Thơ
Gò Quao,Kiên Giang
Phan Thiết,Bình Thuận
"Huế, Thừa Thiên - Huế",Thừa Thiên Huế
Zaporizhia,unknown
München,Nam Định
Paris,Hà Nội
Hạ Hòa,Phú Thọ
Xuân Tảo,Hà Nội
Thanh Hóa,Thanh Hóa
Quận Hoàng Mai Hà Nội,Hà Nội
Cua Lo,Nghệ An
"Việt Trì, Phú Thọ",Phú Thọ
"Hç?Mzç?Li, Qəbələ, Azerbaijan",unknown
Điện Biên Phủ,Điện Biên
"Phu Giáo, Vietnam",Bình Dương
Phúc Yên,Vĩnh Phúc
Phú Quốc,Kiên Giang
Triệu Phong,Quảng Trị
"Vin, Nghệ An, Vietnam",Nghệ An
"Phu Lang Thuong, Bắc Giang, Vietnam",Bắc Giang
"Ninbinh, Ninh Bình",Ninh Bình
"Ha Tin', Hà Tĩnh, Vietnam",Hà Tĩnh
"Boston, Massachusetts",Hà Nội
Từ Sơn,Hà Nội
Lẩu Sứ,Hà Nội
TP Ho Chi Minh,Hồ Chí Minh
"TP Nha Trang, Khánh Hòa",Khánh Hòa
"Ung Hoa, Ha Son Binh, Vietnam",Hà Nội
Tp Bien Hoa,Đồng Nai
Muong So,Lai Châu
Yên Phong,Bắc Ninh
"Moi, Hồ Chí Minh, Vietnam",Hồ Chí Minh
"Trang Bach, Quảng Ninh, Vietnam",Quảng Ninh
"Lagi, Thuin Hai, Vietnam",unknown
Cẩm Phả,Quảng Ninh
Copenhagen,unknown
Đông Hà,unknown
"Hoang Cau, Ha Noi, Vietnam",Hà Nội
Băng Cốc,Hà Nội
"Quang Ninh, Binh Tri Thien, Vietnam",Hà Nội
"Yên Minh, Hà Giang",Hà Giang
"Arlington, Texas",Hồ Chí Minh
"Tay Tuu, Ha Noi, Vietnam",Hà Nội
Lục Ngạn,Bắc Giang
"An Lão, Bình Ðịnh, Vietnam",Bình Định
Tĩnh Gia,Thanh Hóa
Việc Làm Quảng Ninh,Quảng Ninh
"Bến Cát, Bình Dương",Bình Dương
"Shizuoka-shi, Shizuoka, Japan",Phú Thọ
Xã vũ hòa Đức linh bình thuận,Bình Thuận
San Francisco,unknown
"Phu Van Ly, Ha Nam Ninh, Vietnam",Hà Nam
Hà Tĩnh (thành phố),Hà Tĩnh
"Kwang Ngai, Quảng Ngãi, Vietnam",Quảng Ngãi
Tbilisi,Hà Nội
Targovishte,Hà Nội
Quan Nhan,Hà Nội
"Viet An, Quang Nam-Da Nang, Vietnam",Đà Nẵng
Luân Đôn,unknown
Mỹ Tho,Tiền Giang
"Phu-Li, Hà Nam, Vietnam",Hà Nam
Sơn Dương,Tuyên Quang
"Yen So, Ha Son Binh, Vietnam",Hà Nội
"Phan Rang-Tháp Chàm, Ninh Thuận, Vietnam",Ninh Thuận
Vĩnh Yên,Vĩnh Phúc
"Thủ Dầu Một, Bình Dương",Bình Dương
"Bình An, Vietnam",Long An
"Dĩ An, Bình Dương",Bình Dương
"Thânh Liêm, Ha Nam Ninh, Vietnam",Hà Nam
Hà Trung (huyện),Hà Nội
Nga Sơn,unknown
Văn Giang,Hà Nội
"Newark, New Jersey",unknown
Định Nam,Hà Nội
"Seoul, Korea",unknown
"Hương Ngọc Lac, Thanh Hóa, Vietnam",Thanh Hóa
Quảng Ninh,Quảng Ninh
"Garden Grove, California",unknown
"Grand Rapids, Michigan",unknown
"TP Vinh, Nghệ An",Nghệ An
Auckland,unknown
"Binh Phuoc, Đồng Nai",Đồng Nai
Hải Dương (thành phố),Hải Dương
Lạng Sơn,Lạng Sơn
Shinjuku,Hà Nội
"Thái Hòa, Nghệ An",Nghệ An
"Tuyên Hóa, Quảng Bình",Quảng Bình
"Cao Lãnh, Đồng Tháp",Đồng Tháp
Phan Thiết - Bình Thuận,Bình Thuận
Tiên Du,Bắc Ninh
Địa Điểm Ăn Chơi Hà Nội,Hà Nội
"Japan, Missouri",Hồ Chí Minh
"Canada, Kansas",unknown
Maryland City,Hồ Chí Minh
Kyōto,Hà Nội
Đài Trung,Hà Nội
"An Khê, Gia Lai, Vietnam",Gia Lai
Hải Phòng,Hải Phòng
Hà Giang,Hà Giang
"Edogawa-ku, Tokyo, Japan",Phú Thọ
Anh Sơn,Hà Nội
Ukraine,unknown
Nam Đông,Thừa Thiên Huế
"Buôn Hô, Đắc Lắk, Vietnam",Đắk Lắk
"Hội An, Quảng Nam",Quảng Nam
"Phu Thuan, Ðồng Tháp, Vietnam",Đồng Tháp
Dĩ An,Bình Dương
Vinh,Nghệ An
"Tương Dương, Nghệ An",Nghệ An
Buôn Ma Thuột,Đắk Lắk
